MINA > Lumi, Frank ou Charlie

Bridge Too Far: Piper, Nani, Mandy
Hot Potato: Colt, Dynamike, Clancy
Safe Zone: Piper, Nani, Brock
Hot Zone: Gale, Lou, Meg
Parallel Plays: Dynamike, Barley, Berry
Ring of Fire: Meg, Nani, Piper
Crystal Arcade: Charlie, Spike, Piper
Double Swoosh: Tara, Charlie, Buster
Hard Rock Mine: Gene, Spike, Charlie
Deathcap Trap: Rico, Spike, Charlie
Gem Fort: Tara, Spike, Larry & Lawrie
Undermine: Crow, Spike, Piper
Center Stage: Frank, Gale, Surge
Pinball Dreams: Surge, Rico, Gale
Sneaky Fields: Frank, Buster, Rosa
Triple Dribble: Frank, Gale, Surge
Open Business: Meg, Jessi, Lou
Dry Season: Piper, Nani, Mandy
Hideout: Piper, Brock, Nani
Layer Cake: Tick, Barley, Dynamike
Shooting Star: Nani, Piper, Mandy
Belles Rock: Nani, Piper, Leon
Flaring Phoenix: Leon, Nani, Crow
New Horizons: Nani, Piper, Mandy
Out in the Open: Nani, Piper, Angelo
Trunk
Bridge Too Far: Colette, Clancy, Piper
Hot Potato: Clancy, Colette, Dynamike
Safe Zone: Colette, Clancy, Colt
Hot Zone: Gale, Lou, Meg
Parallel Plays: Dynamike, Barley, Berry
Ring of Fire: Meg, Colette, Lou
Crystal Arcade: Spike, Colette, Emz
Double Swoosh: Shelly, Buster, Tara
Hard Rock Mine: Spike, Colette, Gene
Deathcap Trap: Rico, Spike, Colette
Gem Fort: Colette, Tara, Rosa
Undermine: Spike, Crow, Colette
Center Stage: Gale, Surge, Shelly
Pinball Dreams: Surge, Rico, Gale
Sneaky Fields: Shelly, Rosa, Buster
Triple Dribble: Gale, Surge, Shelly
Open Business: Meg, Colette, Lou
Dry Season: Piper, Colette, Angelo
Hideout: Piper, Colette, Brock
Layer Cake: Tick, Colette, Mico
Shooting Star: Colette, Piper, Nani
Belles Rock: Colette, Piper, Nani
Flaring Phoenix: Leon, Crow, Cordelius
New Horizons: Piper, Colette, Nani
Out in the Open: Piper, Colette, Angelo
Kaze

Bridge Too Far: Piper, Mandy, Colette
Hot Potato: Ash, Colt, Kenji
Safe Zone: Colette, Meg, Brock
Hot Zone: Stu, Gale, Meg
Parallel Plays: Dynamike, Kenji, Barley
Ring of Fire: Meg, Tara, Gale
Crystal Arcade: Tara, Spike, Kenji
Double Swoosh: Kenji, Tara, Ash
Hard Rock Mine: Gene, Ash, Tara
Deathcap Trap: Rico, Crow, Mortis
